,Unnamed: 0.1,Unnamed: 0,tweet,label,sorgu tipi,tweetUrl,like,user,date,polarity,subjectivity,sentiment
0,0,0,"while i facetime with vin diesel, i degrade rudi juliani at football on my golf course. sore loser. they owe me 17 private jet now. so i eats fork. vindiesel rudijuliani",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/PaulAnuschat/status/1606034595123957760,0,https://twitter.com/PaulAnuschat,2022-12-22 21:11:00+00:00,0.0,0.375,neutral
1,1,1,vindiesel vin diesel is working on which projects currently ?,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/NewsTrust5/status/1603998816042364928,0,https://twitter.com/NewsTrust5,2022-12-17 06:21:33+00:00,0.0,0.4,neutral
2,2,2,just kiss already vin diesel's character and one of the cars from fast furious. fastandfurious vindiesel car,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ShipperBot/status/1602958509133414400,0,https://twitter.com/ShipperBot,2022-12-14 09:27:44+00:00,0.2,0.6,positive
3,3,3,vin diesel should have a race scene in the next fast and furious movie where he drives a hearse with paul walkers corpse in the back i thihnk fastx fastandfurious livelaughlove,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/davege123/status/1602458300410433536,2,https://twitter.com/davege123,2022-12-13 00:20:05+00:00,0.06666666666666667,0.19999999999999998,positive
4,4,4,the masculine urge to stop putting a space in vin diesel’s name and see if he notices everyone calling him “vindiesel”,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/DanielMadison78/status/1600890420518846464,1,https://twitter.com/DanielMadison78,2022-12-08 16:29:54+00:00,0.1,0.3,positive
5,5,5,we all think that michelle rodriguez's character and vin diesel's character from fast furious should canoodle. fastandfurious michellerodriguez vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ShipperBot/status/1589586399199649792,0,https://twitter.com/ShipperBot,2022-11-07 11:51:45+00:00,0.2,0.6,positive
6,6,6,vin diesel is one of my favorite actors. to discover that he was here at the beginning is well... vindiesel firstman,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Lawandateacher/status/1586075326303592449,1,https://twitter.com/Lawandateacher,2022-10-28 19:20:00+00:00,0.5,1.0,positive
7,7,7,"i wanna see at least 20 fast and furious movies. please don't let me down, vin diesel, justin lin hollywood art film media",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/inalienblwrites/status/1585987813816008704,0,https://twitter.com/inalienblwrites,2022-10-28 13:32:15+00:00,-0.08518518518518518,0.42962962962962964,negative
8,8,8,vin diesel why did you eat the apple  bruh!,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/SSnetwoork/status/1585930315821875200,0,https://twitter.com/SSnetwoork,2022-10-28 09:43:47+00:00,0.0,0.0,neutral
9,9,9,the rock after finding out vin diesel is adam vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Fnworlds/status/1585904838986301441,0,https://twitter.com/Fnworlds,2022-10-28 08:02:32+00:00,0.0,0.0,neutral
10,10,10,"internet escape route pg13 action, suspense michelle rodriguez tyrese gibson chris bridges an unusual energy comes over escape convict (vin diesel) once a year giving him the power to take on anyone who tries to stop him.",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Hollywood12341/status/1584292895850627073,0,https://twitter.com/Hollywood12341,2022-10-23 21:17:15+00:00,0.06666666666666668,0.5,positive
11,11,11,"charlie puth is wanting to break into acting. he tells you he is thinking about talking to his friend, vin diesel, about starring in the next fast and furious movie. charlie asks you which of these roles he would be great at. what advice will you give him?",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/CharliesPuthies/status/1581868204095205377,7,https://twitter.com/CharliesPuthies,2022-10-17 04:42:24+00:00,0.25,0.3375,positive
12,12,12,my dog just barked at vin diesel on my television and ran away crying. what say you ?,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/jasonscheer/status/1578999330043617281,8,https://twitter.com/jasonscheer,2022-10-09 06:42:31+00:00,-0.2,0.6,negative
13,13,13,"""feel like i do"" by vin diesel weekend on demand at 6:56pm",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/kfaiplaylist/status/1578897338289991680,0,https://twitter.com/kfaiplaylist,2022-10-08 23:57:14+00:00,0.0,0.0,neutral
14,14,14,"while washings my thumb, i picks up kettle full of inverted vin diesel dolls, i sell to disciples and making big sack of gold . haha, i digging for all squid fur i can. so i steal a patrol officer identity. thumb vindiesel",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/PaulAnuschat/status/1577309318776770562,0,https://twitter.com/PaulAnuschat,2022-10-04 14:47:01+00:00,0.18333333333333335,0.31666666666666665,positive
15,15,15,who doesn't ship driftdiesel (the guy from tokyo drift and vin diesel's character) from fast furious? fastandfurious lucasblack vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ShipperBot/status/1576523825088438273,0,https://twitter.com/ShipperBot,2022-10-02 10:45:44+00:00,0.2,0.6,positive
16,16,16,"after vin diesel tellings me to movings left lung, i am goings to vote for nancy kerrigan instead of trump jr. for queen  of judicial branch. eh, forgets it, i sell my chainsaw on googles marketplace, brakes even. vindiesel trumpjr",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/PaulAnuschat/status/1572565558666854400,0,https://twitter.com/PaulAnuschat,2022-09-21 12:37:00+00:00,0.0,0.0,neutral
17,17,17,"mind, body soul pg13 action, thriller analyzing all the time he has spent on earth so far dream chaser (vin diesel) must look deep into himself and try to think about what the future holds with a world spiraling out of control.",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Hollywood12341/status/1571470634751823872,0,https://twitter.com/Hollywood12341,2022-09-18 12:06:10+00:00,0.02,0.34500000000000003,positive
18,18,18,we need vin diesel to come on raw as a special guest and give dominic the family speech. wweraw mondaynightraw wrestling wrestlingcommunity,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/WillardCorder/status/1566947163946598400,1,https://twitter.com/WillardCorder,2022-09-06 00:31:31+00:00,0.06318681318681318,0.5164835164835164,positive
19,19,19,why haven't paul walker's character and vin diesel's character from fast furious kissed yet? fastandfurious paulwalker vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ShipperBot/status/1563915243340054529,0,https://twitter.com/ShipperBot,2022-08-28 15:43:44+00:00,0.2,0.6,positive
20,20,20,"when vin diesel follows you, but it’s a fake ifonly vindiesel",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/RAinChristi/status/1562435356083245058,2,https://twitter.com/RAinChristi,2022-08-24 13:43:12+00:00,-0.5,1.0,negative
21,21,21,is it really only my tl or vin diesel’s fb profile only. why everyone posting on his tl lmao vindiesel facebook glitch,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/MahhiVeerpal/status/1562339483202322432,4,https://twitter.com/MahhiVeerpal,2022-08-24 07:22:14+00:00,0.19999999999999998,1.0,positive
22,22,22,"""i am groot"" is vin diesel? really??",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/MissTambi/status/1560695380676837376,0,https://twitter.com/MissTambi,2022-08-19 18:29:09+00:00,0.2,0.2,positive
23,23,23,"i don't care what anyone says, the last witch hunter is the best movie vin diesel has been in. great story, and great acting. thelastwitchhunter vindiesel",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/xzemx/status/1558186498737963008,0,https://twitter.com/xzemx,2022-08-12 20:19:45+00:00,0.52,0.37333333333333335,positive
24,24,24,"southern blizzard pg13 suspense, drama chris brian sammy jay lee ray smith principal (vin diesel) has told all the teachers that school will be out for the next few days until the blizzard pasts through town.",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Hollywood12341/status/1557879398849826818,0,https://twitter.com/Hollywood12341,2022-08-11 23:59:27+00:00,-0.06666666666666667,0.03333333333333333,negative
25,25,25,"the great vin diesel follows me on ig. altho i don't think it's really . must be a bot, or his cuz robby diesel. damn it!",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/NateHillShow/status/1556799135180677120,0,https://twitter.com/NateHillShow,2022-08-09 00:26:52+00:00,0.525,0.475,positive
26,26,26,"""feel like i do"" by vin diesel weekend on demand at 6:56pm",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/kfaiplaylist/status/1556067022827569152,0,https://twitter.com/kfaiplaylist,2022-08-06 23:57:43+00:00,0.0,0.0,neutral
27,27,27,"avatarthewayofwater new cast members include kate winslet, cliff curtis, edie falco, jemaine clement, michelle yeoh, and vin diesel. avatar2 avatar2thewayofwater katewinslet vindiesel",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/curiouschlorid2/status/1552010442012520448,0,https://twitter.com/curiouschlorid2,2022-07-26 19:18:18+00:00,0.13636363636363635,0.45454545454545453,positive
28,28,28,day 405 of drawing vin diesel until he releases new music,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/_JohnCar_/status/1551045950868709376,5,https://twitter.com/_JohnCar_,2022-07-24 03:25:46+00:00,0.13636363636363635,0.45454545454545453,positive
29,29,29,high thoghts top 3 bromances in hollywood history 1.) the rock kevin hart 2.) vin diesel paul walker 3.) sir ian mckellen sir patrick stewart bromance hollywood therock kevinhart vindiesel paulwalker siriankckellen sirpatrickstewart,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/_SavvyOne/status/1550356342161887233,0,https://twitter.com/_SavvyOne,2022-07-22 05:45:30+00:00,0.33,0.52,positive
30,30,30,"once when vin diesel visit golf course, i realize my anxiety pill addiction is hinderings me, i takes proactive measure and declares: ""get offings my drug olympics, i just mowed it!"" i gives up. vindiesel",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/PaulAnuschat/status/1549950042940706816,0,https://twitter.com/PaulAnuschat,2022-07-21 02:51:01+00:00,0.0,0.0,neutral
31,31,31,happy birthday to vin diesel. have the best day. celebbirthday,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/CelebBirthday_/status/1548989666862432257,0,https://twitter.com/CelebBirthday_,2022-07-18 11:14:50+00:00,0.9,0.65,positive
32,32,32,"hey i’m canceling my stream tonight, my fiancé wants to have a little date and she’s coming first. like once said “family man, that shit is crazy” -vin diesel -someone who’s never seen a single fast movie in his life",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/Crnklydad/status/1545541913394159616,1,https://twitter.com/Crnklydad,2022-07-08 22:54:41+00:00,-0.05841836734693877,0.4925170068027211,negative
33,33,33,"just created a genealogy-based app, but all the names i think of are taken in one way or another, including ""mytree"", ""thetree"", ""ancestree"", ""histree"", ""myhistree"", ""ourtree"". at this rate i think i'll name it after vin diesel as he loves family  is that alright, ?",,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/LD_Tees/status/1543632574068793344,0,https://twitter.com/LD_Tees,2022-07-03 16:27:39+00:00,0.0,0.0,neutral
34,34,34,jason statham or vin diesel ?? jasonstatham vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/LykanHyperAgent/status/1543441816514691073,1,https://twitter.com/LykanHyperAgent,2022-07-03 03:49:39+00:00,0.0,0.0,neutral
35,35,35,we all know cenadiesel (john cena's character and vin diesel's character) is the nicest ship from fast furious. fastandfurious johncena vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ShipperBot/status/1542433195177742336,0,https://twitter.com/ShipperBot,2022-06-30 09:01:45+00:00,0.2,0.6,positive
36,36,36,young toretto on fast 9 look nothing like vin diesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/benjie1k/status/1541470757162737665,0,https://twitter.com/benjie1k,2022-06-27 17:17:22+00:00,0.15000000000000002,0.5,positive
37,37,37,they look so young i remember vin diesel was my celebrity crush lmfao!,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/keepingupwSUE/status/1539502269363671040,0,https://twitter.com/keepingupwSUE,2022-06-22 06:55:18+00:00,0.125,0.4,positive
38,38,38,weird seeing vin diesel in a war movie and not in the fast and furious movies. vindiesel,,"""vindiesel"" ""vin diesel"" lang:en -filter:links -filter:replies""",https://twitter.com/ashcash1995/status/1536509662559977472,0,https://twitter.com/ashcash1995,2022-06-14 00:43:45+00:00,-0.15,0.8,negative
